participant_id,school_id,district_id,study_yr,iqa,lmt,female,race_black,race_asian,race_white,race_hispanic,race_amind,race_pi,born_yr,full_cert,part_cert,none_cert,math_method,math_content,math_advance,grade_level_6,grade_level_7,grade_level_8,math_teach_yrs,c_ishtrack_flg,c_n,c_pctlep,c_pctsped
20404,204,2,3,1.5,1.0591176,1,0,0,1,0,0,0,1967,1,0,0,1 Course,5 or More courses,0 Courses,1,0,0,9,0,31,38.709679,3.225806
20404,204,2,4,2.166667,1.0642405,1,0,0,1,0,0,0,1967,1,0,0,1 Course,5 or More courses,3 Courses,0,1,1,10,0,29,24.13793,3.448276
20405,204,2,1,2.25,-1.055714,1,0,0,0,1,0,0,1968,1,0,0,4 Courses,2 Courses,4 Courses,1,1,0,2,0,14,7.1428571,0
20406,204,2,1,2.416667,1.0591176,0,0,1,0,0,0,0,1964,1,0,0,5 or More courses,5 or More courses,4 Courses,0,0,1,19,0,27,11.11111,7.4074068
20406,204,2,2,2.75,0.92576653,0,0,1,0,0,0,0,1964,1,0,0,5 or More courses,5 or More courses,4 Courses,0,0,1,20,0,22,0,0
20408,204,2,1,2.666667,0.4070175,0,0,0,1,0,0,0,1982,1,0,0,0 Courses,0 Courses,5 or More courses,1,0,0,2,0,24,13.04348,0
20409,204,2,2,2.833333,-0.1929235,0,0,0,0,0,0,0,1978,0,1,0,0 Courses,0 Courses,0 Courses,1,0,0,1,1,23,4.347826,0
20410,204,2,2,2.25,0.97933048,0,0,0,0,1,0,0,1967,1,0,0,0 Courses,0 Courses,4 Courses,1,1,1,4,0,8,37.5,0
20415,204,2,3,2.666667,-0.58488852,0,0,0,1,0,0,0,1980,1,0,0,3 Courses,3 Courses,3 Courses,0,0,1,3,1,31,6.4516129,0
20415,204,2,4,2.833333,0.047619499,0,0,0,1,0,0,0,1980,1,0,0,3 Courses,5 or More courses,4 Courses,0,0,1,4,1,40,5,0
20419,204,2,4,2.083333,-0.39288801,0,1,0,0,0,0,0,1967,1,0,0,0 Courses,0 Courses,5 or More courses,0,0,1,16,1,26,3.846154,3.846154
20421,204,2,4,2.583333,-0.0034075,0,0,0,0,1,0,0,1986,0,1,0,0 Courses,0 Courses,0 Courses,1,0,0,1,0,26,26.92308,0
20502,205,2,2,2.333333,0.44210199,1,0,0,1,0,0,0,1948,1,0,0,4 Courses,3 Courses,2 Courses,0,1,0,38,1,3,0,0
20502,205,2,3,1.833333,0.50478101,1,0,0,1,0,0,0,1948,1,0,0,2 Courses,5 or More courses,3 Courses,0,1,0,39,0,13,0,0
20502,205,2,4,2.333333,0.82318902,1,0,0,1,0,0,0,1948,1,0,0,4 Courses,4 Courses,4 Courses,0,1,0,40,1,21,4.7619052,0
20503,205,2,1,2.75,0.098838001,1,0,0,1,0,0,0,1962,1,0,0,1 Course,4 Courses,4 Courses,0,1,0,21,1,20,0,0
20503,205,2,2,2.75,0.40250301,1,0,0,1,0,0,0,1962,1,0,0,1 Course,5 or More courses,5 or More courses,0,1,0,22,1,7,0,0
20503,205,2,3,2,0.198293,1,0,0,1,0,0,0,1962,1,0,0,1 Course,5 or More courses,5 or More courses,0,1,0,23,1,30,6.666667,0
20503,205,2,4,2,0.48844701,1,0,0,1,0,0,0,1962,1,0,0,1 Course,5 or More courses,5 or More courses,0,1,0,24,1,24,0,0
20504,205,2,1,2.583333,-0.236936,1,0,0,1,0,0,0,1967,1,0,0,4 Courses,5 or More courses,1 Course,0,0,1,9,0,26,4,4
20504,205,2,2,1.5,-0.343945,1,0,0,1,0,0,0,1967,1,0,0,4 Courses,5 or More courses,2 Courses,0,0,1,10,0,17,11.76471,0
20504,205,2,3,1.5,0.1055265,1,0,0,1,0,0,0,1967,1,0,0,4 Courses,5 or More courses,2 Courses,0,0,1,11,0,19,0,0
20506,205,2,1,1.833333,0.1539375,0,0,0,1,0,0,0,1941,1,0,0,0 Courses,0 Courses,5 or More courses,0,1,0,15,0,26,7.692307,0
20506,205,2,2,2.083333,0.48844701,0,0,0,1,0,0,0,1941,1,0,0,0 Courses,5 or More courses,5 or More courses,0,1,0,16,0,13,0,0
20507,205,2,2,2.5,-1.19543,1,0,0,1,0,0,0,1981,1,0,0,0 Courses,0 Courses,0 Courses,0,1,0,2,0,5,0,20
20507,205,2,3,1.916667,-0.64856952,1,0,0,1,0,0,0,1981,1,0,0,0 Courses,0 Courses,1 Course,0,1,0,3,0,27,7.4074068,33.333328
20509,205,2,2,1.833333,-0.41104501,1,1,0,0,0,0,0,1974,1,0,0,4 Courses,3 Courses,1 Course,0,0,1,2,0,13,0,0
20509,205,2,3,2.083333,0.026857,1,1,0,0,0,0,0,1974,1,0,0,5 or More courses,2 Courses,1 Course,0,0,1,3,0,30,3.333333,30
20509,205,2,4,2.833333,0.3406215,1,1,0,0,0,0,0,1974,1,0,0,5 or More courses,5 or More courses,3 Courses,0,1,0,4,0,28,3.571429,21.42857
20513,205,2,1,2.25,0.2146965,1,0,0,1,0,0,0,1962,1,0,0,4 Courses,4 Courses,5 or More courses,0,1,1,17,1,22,4.545455,0
20604,206,2,2,2.083333,-0.67272002,1,0,0,1,0,0,0,1979,1,0,0,0 Courses,0 Courses,0 Courses,1,0,0,1,1,19,0,0
20604,206,2,3,2.166667,-0.49721599,1,0,0,1,0,0,0,1979,1,0,0,0 Courses,0 Courses,0 Courses,0,0,1,2,0,23,8.695652,30.43478
20604,206,2,4,2.75,-0.0092475,1,0,0,1,0,0,0,1979,1,0,0,0 Courses,0 Courses,0 Courses,0,0,1,3,0,28,3.571429,3.571429
20605,206,2,2,1.833333,-0.041095,0,0,0,1,0,0,0,1976,1,0,0,0 Courses,0 Courses,0 Courses,0,1,1,1,0,26,3.846154,0
